id,drawing_number,revision,part_name,customer_name,item_code,r2_key,file_name,type,is_active,created_at,created_by,issue_date,package_size,oil_group,pallet_type,boxes_per_pallet,shelf_life,item_number
58b13baa-bc33-4f98-a50d-8a6ce12d347f,D-0443,00,YAMALUBE SN MB 10W-40 Full syn,ENEOS,40002086,drawing/D-0443_rev00_1783928525958.pdf,40002086 D-0443 rev.00 YAMALUBE SN MB 10W-40 Full syn.pdf,drawing,false,2026-07-13 07:42:07.022647+00,yeanyeen,2026-03-20,1 x 24 L.,,,50,2 years,
58e53424-42ce-43ee-8229-fba9d7389492,D-0259,02,Tri Petch Genuine Gear ATF3309 (985531919B),ENEOS,40001606,drawing/D-0259_rev02_1784088580331.pdf,40001606 D-0259 rev.02 Tri Petch Genuine Gear ATF3309 (985531919B).pdf,drawing,false,2026-07-15 04:09:41.338362+00,yeanyeen,2024-06-24,1 x 12 L.,GEAR OIL,ไม้,24,2 years,
59265204-b030-4942-9c02-44ad6990ebdc,D-0428,00,ENEOS PREMIUM FULLY SYN COMMONRAIL 5W-30+POLO,ENEOS,40001954,drawing/D-0428_rev00_1783928235468.pdf,40001954 D-0428 rev.00 ENEOS PREMIUM FULLY SYN COMMONRAIL 5W-30+POLO.pdf,drawing,false,2026-07-13 07:37:17.124566+00,yeanyeen,2025-02-26,3 x 6 + 1 L.,,,24,4 years,
5ac2f794-c229-41e7-a3de-6f8232bddf40,D-0382,00,ENEOS GEAR OIL GL-5 85W-140,ENEOS,40001836,drawing/D-0382_rev00_1783929484490.pdf,40001836 D-0382 rev.00 ENEOS GEAR OIL GL-5 85W-140.pdf,drawing,false,2026-07-13 07:58:07.320638+00,yeanyeen,2023-05-24,5 x 4 L.,GEAR OIL,,32,,
5b9d7bd3-d044-495e-b077-4e4eb5bd8dd9,D-0282,00,ENEOS TOP RACING SN 10W-30,ENEOS,40001447,drawing/D-0282_rev00_1784096737678.pdf,40001447 D-0282 rev.00 ENEOS TOP RACING SN 10W-30.pdf,drawing,false,2026-07-15 06:25:38.758344+00,yeanyeen,2021-09-21,1 x 12 L.,ENGINE OIL,ไม้,20,,
5bc2c054-498b-4057-897c-7c38851a7fdd,D-0259,02,Tri Petch Genuine Gear ATF3309 (985531919B),ENEOS,40001606,drawing/D-0259_rev02_1784088579064.pdf,40001606 D-0259 rev.02 Tri Petch Genuine Gear ATF3309 (985531919B).pdf,drawing,false,2026-07-15 04:09:40.100682+00,yeanyeen,2024-06-24,1 x 12 L.,GEAR OIL,,24,,
5d03c809-9074-4d41-9e09-204858f1e10e,D-0356,01,ENEOS DIESEL PLUS CI-4 20W-50 (ไม่แถม),ENEOS,40001810,drawing/D-0356_rev01_1783929074221.pdf,40001810 D-0356 rev.01 ENEOS DIESEL PLUS CI-4 20W-50 (ไม่แถม).pdf,drawing,false,2026-07-13 07:51:15.537535+00,yeanyeen,2024-09-25,3 x 6 + 1 L.,ENGINE OIL,ไม้,24,3 years,
5d8a1e9c-ae59-474d-940e-27f2ddd4dbf3,D-0209,07,SUZUKI ECSTAR V7000 10W-40,ENEOS,40001444,drawing/D-0209_rev07_1784096731563.pdf,40001444 D-0209 rev.07 SUZUKI ECSTAR V7000 10W-40.pdf,drawing,true,2026-07-15 06:25:32.176336+00,yeanyeen,2024-09-20,4 x 4 L.,ENGINE OIL,,40,,
5f61900d-d9c4-459d-b61f-b9b5db2a5a44,D-0356,02,ENEOS DIESEL PLUS CI-4 20W-50 (ไม่แถม),ENEOS,40001810,drawing/D-0356_rev02_1783929075709.pdf,40001810 D-0356 rev.02 ENEOS DIESEL PLUS CI-4 20W-50 (ไม่แถม).pdf,drawing,true,2026-07-13 07:51:16.754747+00,yeanyeen,2026-01-26,3 x 6 + 1 L.,ENGINE OIL,,24,4 years,
63d0944e-afd0-4c1a-9123-c084b4f2e4dc,SM-OR-0026,00,PTT CHALLENGER SYNTHETIC 2T NP (6/1L),PTTOR,403744,master/SM-OR-0026_rev0_1784528492243.pdf,403744 SM-OR-0026 rev.0 PTT CHALLENGER SYNTHETIC 2T NP (6/1L).pdf,master,true,2026-07-20 06:21:33.306336+00,yeanyeen,2025-10-06,1 x 6 L.,ENGINE OIL,พลาสติก,125,3 years,267005000754A
64cb7eaa-743d-4943-90fe-86c4e59f0477,D-0438,01,ENEOS 4AT MB+SCOOTER GEAR OIL+P(NEW),ENEOS,40002028,drawing/D-0438_rev01_1783993641130.pdf,40002028 D-0438 rev.01 ENEOS 4AT MB+SCOOTER GEAR OIL+P(NEW).pdf,drawing,true,2026-07-14 01:47:22.394798+00,yeanyeen,2026-02-23,0.8 x 12 + 0.12 L.,ENGINE OIL,,40,4 years,
